k,m,mu_star,std_dev_full_data,std_dev_mle_only,info_loss_ratio,mu_acceptance_rate
5.0,5,10.16283619956488,0.519040625220776,0.5244089183547815,1.0103427224636263,0.5389179639321311
3.0,5,10.311577246299596,0.5842644822198849,0.5549925448309618,0.9498995090755717,0.5509850328344278
1.0,5,9.873856083217225,0.6183671964210689,0.5497457668251231,0.8890280241366185,0.525717523917464
2.0,5,9.869122213130261,0.5308883243434306,0.6267397851965304,1.180549197369603,0.5510850361678723
5.0,10,9.837014495221116,0.36767384218803556,0.3608245602883412,0.9813713103468712,0.4260142004733491
3.0,10,9.811667431127663,0.427255468556933,0.37939906634798876,0.8879911300595389,0.4368145604853495
1.0,10,9.77903452683679,0.4479245328704906,0.33866527867284246,0.7560766464442829,0.3928464282142738
2.0,10,9.958091096090765,0.3890074122962414,0.37127669430565213,0.9544206165997506,0.43348111603720124
5.0,20,9.868118918741533,0.2587102206471543,0.2523833347062064,0.9755445071898533,0.32524417480582685
3.0,20,9.855516157468545,0.28684154819787333,0.24695404557883244,0.8609423813612765,0.3223107436914564
1.0,20,9.49070116795845,0.3539038064397043,0.22128915206512648,0.6252805085407529,0.2853428447614921
2.0,20,9.823896498305347,0.2503711541384473,0.25493274950891937,1.0182193327588756,0.33227774259141973
3.0,50,9.799453231698019,0.16373241632061608,0.16117084950724167,0.9843551639257652,0.2150071669055635
5.0,50,9.805756373255523,0.1606500208459781,0.16058274037996953,0.9995811985230113,0.21477382579419313
2.0,50,9.98420708731211,0.15889514957468087,0.16065626010693018,1.0110834757194498,0.2162072069068969
1.0,50,9.743980323216013,0.19511429912527994,0.13918110999069142,0.7133311633983592,0.18973965798859962
